t	x théorique	y théoriqe
0,0	0,0	0,0
0,42646618267840763	0,0	-0,036
0,8529323653568153	0,0	-0,072
1,279398548035223	0,0	-0,10800000000000001
1,7058647307136305	0,0	-0,144
2,132330913392038	0,0	-0,18
2,558797096070446	0,0	-0,21600000000000003
2,9852632787488536	0,0	-0,252
3,411729461427261	0,0	-0,288
3,8381956441056686	0,0	-0,26
4,264661826784076	0,0	-0,20000000000000004
4,691128009462484	0,0	-0,13999999999999999
5,117594192140892	0,0	-0,07999999999999993
5,544060374819299	0,0	-0,020000000000000018
5,970526557497707	0,0	0,040000000000000036
6,396992740176114	0,0	0,09999999999999998
6,823458922854522	0,0	0,16000000000000003
7,24992510553293	-0,012000000000000009	0,2
7,676391288211337	-0,04799999999999996	0,2
8,102857470889745	-0,08399999999999999	0,2
8,529323653568152	-0,11999999999999994	0,2
8,955789836246561	-0,15600000000000006	0,2
9,382256018924968	-0,192	0,2
9,808722201603375	-0,22799999999999995	0,2
10,235188384281784	-0,26400000000000007	0,2
10,661654566960191	-0,3	0,2
11,088120749638598	-0,2280000000000001	0,2
11,514586932317005	-0,15600000000000017	0,2
11,941053114995414	-0,08399999999999996	0,2
12,367519297673821	-0,012000000000000066	0,2
12,793985480352228	0,05999999999999983	0,2
13,220451663030637	0,13200000000000006	0,2
13,646917845709044	0,2039999999999999	0,2
14,073384028387451	0,27599999999999986	0,2
14,49985021106586	0,27599999999999997	0,2
14,926316393744267	0,24000000000000002	0,2
15,352782576422674	0,20400000000000007	0,2
15,779248759101083	0,16799999999999995	0,2
16,20571494177949	0,132	0,2
16,632181124457897	0,09600000000000006	0,2
17,058647307136305	0,06000000000000011	0,2
17,48511348981471	0,024000000000000132	0,2
17,911579672493122	0,0	0,19199999999999995
18,33804585517153	0,0	0,16799999999999998
18,764512037849936	0,0	0,14400000000000002
19,190978220528343	0,0	0,12000000000000004
19,61744440320675	0,0	0,09600000000000007
20,043910585885158	0,0	0,07200000000000009
20,47037676856357	0,0	0,04799999999999993
20,896842951241975	0,0	0,023999999999999966
21,323309133920382	0,0	0,0
